id,university_id,major_id
1,1,1
2,1,4
3,1,20
4,1,21
5,1,24
6,1,25
7,1,27
8,1,33
9,1,43
10,1,51
11,1,61
12,1,70
13,1,82
14,1,84
15,1,90
16,1,96
17,1,97
18,1,98
19,1,112
20,1,120
21,1,124
22,1,138
23,1,139
24,1,153
25,1,155
26,1,160
27,1,163
28,1,169
29,1,175
30,1,190
31,1,198
32,1,202
33,1,213
34,1,222
35,1,227
36,1,250
37,1,268
38,1,271
39,1,295
40,1,310
41,1,317
42,1,322
43,1,325
44,1,326
45,1,327
46,1,337
47,1,365
48,1,368
49,1,371
50,1,388
51,1,390
52,1,394
53,1,396
54,1,398
55,1,407
56,1,415
57,1,418
58,1,445
59,1,456
60,1,466
61,1,467
62,1,469
63,1,470
64,1,475
65,1,477
66,1,485
67,1,493
68,1,511
69,1,513
70,1,520
71,1,522
72,1,526
73,1,540
74,1,545
75,1,548
76,1,550
77,1,552
78,1,556
79,1,581
80,1,591
81,1,613
82,1,620
83,1,628
84,1,630
85,1,634
86,1,637
87,1,643
88,1,658
89,1,662
90,1,665
91,1,671
92,1,676
93,1,682
94,1,688
95,1,690
96,1,707
97,1,709
98,1,717
99,1,756
100,1,760
101,1,773
102,1,774
103,1,820
104,1,825
105,1,829
106,2,6
107,2,8
108,2,16
109,2,92
110,2,111
111,2,139
112,2,141
113,2,143
114,2,148
115,2,149
116,2,161
117,2,178
118,2,190
119,2,193
120,2,194
121,2,213
122,2,216
123,2,225
124,2,227
125,2,250
126,2,259
127,2,275
128,2,284
129,2,286
130,2,287
131,2,365
132,2,366
133,2,368
134,2,445
135,2,490
136,2,498
137,2,499
138,2,500
139,2,509
140,2,515
141,2,518
142,2,525
143,2,573
144,2,578
145,2,585
146,2,588
147,2,590
148,2,595
149,2,598
150,2,636
151,2,638
152,2,709
153,2,715
154,2,750
155,2,754
156,3,6
157,3,12
158,3,14
159,3,30
160,3,38
161,3,42
162,3,50
163,3,70
164,3,75
165,3,91
166,3,107
167,3,112
168,3,114
169,3,127
170,3,130
171,3,139
172,3,140
173,3,142
174,3,144
175,3,146
176,3,155
177,3,184
178,3,187
179,3,190
180,3,208
181,3,213
182,3,216
183,3,217
184,3,218
185,3,222
186,3,235
187,3,239
188,3,244
189,3,250
190,3,262
191,3,266
192,3,268
193,3,287
194,3,288
195,3,290
196,3,292
197,3,294
198,3,296
199,3,297
200,3,298
201,3,303
202,3,304
203,3,309
204,3,325
205,3,332
206,3,335
207,3,342
208,3,343
209,3,344
210,3,345
211,3,346
212,3,348
213,3,350
214,3,352
215,3,364
216,3,369
217,3,370
218,3,379
219,3,386
220,3,387
221,3,389
222,3,391
223,3,392
224,3,393
225,3,400
226,3,433
227,3,436
228,3,444
229,3,445
230,3,451
231,3,454
232,3,460
233,3,463
234,3,465
235,3,466
236,3,471
237,3,486
238,3,489
239,3,491
240,3,496
241,3,501
242,3,503
243,3,506
244,3,508
245,3,525
246,3,541
247,3,542
248,3,546
249,3,556
250,3,573
251,3,591
252,3,607
253,3,609
254,3,614
255,3,629
256,3,632
257,3,665
258,3,672
259,3,683
260,3,691
261,3,696
262,3,701
263,3,702
264,3,703
265,3,704
266,3,709
267,3,714
268,3,748
269,3,750
270,3,755
271,3,756
272,3,761
273,3,766
274,3,767
275,3,769
276,3,776
277,3,778
278,3,792
279,3,793
280,3,794
281,3,795
282,3,796
283,3,797
284,3,798
285,3,799
286,3,806
287,3,819
288,3,829
289,4,6
290,4,22
291,4,28
292,4,29
293,4,35
294,4,40
295,4,61
296,4,70
297,4,71
298,4,94
299,4,107
300,4,113
301,4,115
302,4,139
303,4,153
304,4,155
305,4,156
306,4,162
307,4,163
308,4,190
309,4,231
310,4,246
311,4,250
312,4,252
313,4,253
314,4,262
315,4,268
316,4,272
317,4,325
318,4,351
319,4,358
320,4,374
321,4,400
322,4,402
323,4,427
324,4,464
325,4,501
326,4,517
327,4,525
328,4,550
329,4,551
330,4,555
331,4,556
332,4,557
333,4,684
334,4,573
335,4,574
336,4,577
337,4,581
338,4,584
339,4,587
340,4,591
341,4,600
342,4,642
343,4,650
344,4,662
345,4,664
346,4,665
347,4,676
348,4,678
349,4,681
350,4,691
351,4,692
352,4,694
353,4,697
354,4,709
355,4,710
356,4,711
357,4,712
358,4,713
359,4,750
360,4,767
361,4,789
362,4,811
363,4,815
364,4,829
365,5,10
366,5,16
367,5,43
368,5,44
369,5,45
370,5,46
371,5,47
372,5,53
373,5,61
374,5,63
375,5,64
376,5,70
377,5,88
378,5,94
379,5,105
380,5,114
381,5,121
382,5,132
383,5,137
384,5,139
385,5,153
386,5,155
387,5,163
388,5,185
389,5,190
390,5,199
391,5,213
392,5,215
393,5,216
394,5,227
395,5,238
396,5,250
397,5,251
398,5,268
399,5,313
400,5,322
401,5,334
402,5,356
403,5,363
404,5,365
405,5,375
406,5,400
407,5,445
408,5,451
409,5,452
410,5,454
411,5,455
412,5,459
413,5,502
414,5,505
415,5,525
416,5,532
417,5,550
418,5,573
419,5,575
420,5,582
421,5,587
422,5,591
423,5,608
424,5,612
425,5,618
426,5,631
427,5,632
428,5,635
429,5,660
430,5,661
431,5,664
432,5,665
433,5,667
434,5,676
435,5,678
436,5,679
437,5,687
438,5,691
439,5,698
440,5,705
441,5,709
442,5,745
443,5,750
444,5,756
445,5,781
446,5,811
447,5,829
448,6,4
449,6,9
450,6,12
451,6,16
452,6,17
453,6,32
454,6,34
455,6,35
456,6,36
457,6,56
458,6,58
459,6,59
460,6,61
461,6,62
462,6,63
463,6,70
464,6,94
465,6,107
466,6,108
467,6,109
468,6,110
469,6,115
470,6,119
471,6,153
472,6,154
473,6,155
474,6,156
475,6,158
476,6,162
477,6,163
478,6,164
479,6,168
480,6,172
481,6,190
482,6,192
483,6,213
484,6,241
485,6,245
486,6,250
487,6,262
488,6,266
489,6,268
490,6,270
491,6,299
492,6,300
493,6,301
494,6,302
495,6,322
496,6,325
497,6,345
498,6,349
499,6,350
500,6,360
501,6,361
502,6,362
503,6,396
504,6,400
505,6,421
506,6,429
507,6,444
508,6,445
509,6,456
510,6,473
511,6,474
512,6,482
513,6,492
514,6,495
515,6,497
516,6,525
517,6,529
518,6,531
519,6,532
520,6,536
521,6,538
522,6,539
523,6,545
524,6,561
525,6,562
526,6,563
527,6,564
528,6,565
529,6,566
530,6,567
531,6,573
532,6,579
533,6,580
534,6,581
535,6,587
536,6,591
537,6,592
538,6,593
539,6,601
540,6,604
541,6,609
542,6,612
543,6,616
544,6,623
545,6,625
546,6,643
547,6,655
548,6,662
549,6,664
550,6,665
551,6,676
552,6,678
553,6,680
554,6,684
555,6,685
556,6,686
557,6,694
558,6,698
559,6,709
560,6,717
561,6,742
562,6,747
563,6,750
564,6,829
565,6,830
566,7,6
567,7,7
568,7,11
569,7,12
570,7,31
571,7,32
572,7,66
573,7,94
574,7,105
575,7,116
576,7,125
577,7,127
578,7,132
579,7,134
580,7,135
581,7,136
582,7,139
583,7,155
584,7,157
585,7,173
586,7,195
587,7,197
588,7,200
589,7,209
590,7,229
591,7,238
592,7,248
593,7,250
594,7,253
595,7,258
596,7,261
597,7,262
598,7,263
599,7,264
600,7,265
601,7,276
602,7,277
603,7,306
604,7,307
605,7,308
606,7,328
607,7,353
608,7,354
609,7,400
610,7,404
611,7,411
612,7,412
613,7,419
614,7,421
615,7,422
616,7,423
617,7,424
618,7,425
619,7,426
620,7,445
621,7,449
622,7,454
623,7,456
624,7,457
625,7,491
626,7,501
627,7,505
628,7,504
629,7,525
630,7,527
631,7,529
632,7,530
633,7,536
634,7,543
635,7,553
636,7,557
637,7,573
638,7,599
639,7,609
640,7,612
641,7,618
642,7,622
643,7,626
644,7,653
645,7,663
646,7,664
647,7,665
648,7,667
649,7,671
650,7,673
651,7,674
652,7,675
653,7,676
654,7,683
655,7,691
656,7,692
657,7,709
658,7,746
659,7,749
660,7,750
661,7,761
662,7,777
663,8,5
664,8,6
665,8,34
666,8,35
667,8,37
668,8,43
669,8,55
670,8,57
671,8,58
672,8,60
673,8,61
674,8,62
675,8,65
676,8,76
677,8,77
678,8,78
679,8,79
680,8,80
681,8,81
682,8,94
683,8,103
684,8,105
685,8,122
686,8,124
687,8,126
688,8,128
689,8,129
690,8,132
691,8,163
692,8,164
693,8,165
694,8,166
695,8,167
696,8,179
697,8,190
698,8,192
699,8,203
700,8,210
701,8,213
702,8,227
703,8,238
704,8,240
705,8,250
706,8,253
707,8,256
708,8,260
709,8,270
710,8,277
711,8,278
712,8,279
713,8,281
714,8,287
715,8,289
716,8,290
717,8,291
718,8,293
719,8,305
720,8,319
721,8,321
722,8,325
723,8,336
724,8,338
725,8,354
726,8,355
727,8,400
728,8,403
729,8,407
730,8,428
731,8,445
732,8,446
733,8,447
734,8,448
735,8,450
736,8,451
737,8,454
738,8,468
739,8,501
740,8,525
741,8,528
742,8,536
743,8,550
744,8,552
745,8,557
746,8,573
747,8,576
748,8,580
749,8,583
750,8,586
751,8,587
752,8,589
753,8,591
754,8,602
755,8,605
756,8,615
757,8,641
758,8,643
759,8,647
760,8,648
761,8,665
762,8,666
763,8,667
764,8,668
765,8,669
766,8,676
767,8,678
768,8,691
769,8,693
770,8,694
771,8,695
772,8,697
773,8,698
774,8,709
775,8,733
776,8,735
777,8,743
778,8,750
779,8,751
780,8,752
781,8,765
782,8,788
783,8,810
784,8,829
785,9,2
786,9,3
787,9,39
788,9,52
789,9,107
790,9,131
791,9,138
792,9,145
793,9,151
794,9,200
795,9,216
796,9,227
797,9,248
798,9,250
799,9,318
800,9,325
801,9,351
802,9,365
803,9,466
804,9,499
805,9,516
806,9,525
807,9,545
808,9,550
809,9,556
810,9,573
811,9,691
812,9,709
813,9,736
814,9,753
815,9,756
816,9,767
817,9,768
818,9,770
819,9,772
820,10,4
821,10,19
822,10,43
823,10,72
824,10,74
825,10,96
826,10,107
827,10,122
828,10,155
829,10,160
830,10,164
831,10,168
832,10,190
833,10,222
834,10,250
835,10,282
836,10,287
837,10,325
838,10,330
839,10,365
840,10,385
841,10,415
842,10,445
843,10,501
844,10,511
845,10,556
846,10,573
847,10,596
848,10,630
849,10,643
850,10,665
851,10,676
852,10,689
853,10,709
854,10,717
855,10,730
856,10,750
857,10,759
858,10,779
859,10,808
860,10,822
861,11,43
862,11,49
863,11,73
864,11,74
865,11,85
866,11,86
867,11,99
868,11,107
869,11,122
870,11,155
871,11,161
872,11,174
873,11,180
874,11,183
875,11,185
876,11,186
877,11,190
878,11,201
879,11,208
880,11,219
881,11,223
882,11,224
883,11,250
884,11,262
885,11,269
886,11,287
887,11,315
888,11,325
889,11,357
890,11,378
891,11,380
892,11,400
893,11,407
894,11,416
895,11,431
896,11,435
897,11,438
898,11,445
899,11,461
900,11,481
901,11,487
902,11,519
903,11,573
904,11,591
905,11,603
906,11,630
907,11,643
908,11,647
909,11,665
910,11,676
911,11,709
912,11,716
913,11,729
914,11,732
915,11,739
916,11,748
917,11,750
918,11,771
919,11,779
920,11,790
921,11,807
922,11,812
923,12,4
924,12,19
925,12,43
926,12,54
927,12,74
928,12,84
929,12,87
930,12,94
931,12,99
932,12,107
933,12,124
934,12,132
935,12,155
936,12,159
937,12,163
938,12,168
939,12,180
940,12,182
941,12,185
942,12,190
943,12,191
944,12,192
945,12,213
946,12,224
947,12,238
948,12,250
949,12,262
950,12,269
951,12,283
952,12,287
953,12,311
954,12,324
955,12,339
956,12,363
957,12,364
958,12,365
959,12,371
960,12,380
961,12,385
962,12,399
963,12,400
964,12,407
965,12,414
966,12,430
967,12,442
968,12,445
969,12,479
970,12,480
971,12,490
972,12,510
973,12,512
974,12,513
975,12,514
976,12,515
977,12,521
978,12,523
979,12,524
980,12,540
981,12,545
982,12,556
983,12,559
984,12,569
985,12,570
986,12,571
987,12,573
988,12,591
989,12,630
990,12,643
991,12,665
992,12,676
993,12,689
994,12,699
995,12,700
996,12,709
997,12,719
998,12,721
999,12,731
1000,12,737
1001,12,750
1002,12,759
1003,12,763
1004,12,784
1005,12,786
1006,12,802
1007,12,803
1008,12,804
1009,12,805
1010,12,814
1011,12,823
1012,12,828
1013,13,2
1014,13,28
1015,13,43
1016,13,72
1017,13,94
1018,13,105
1019,13,106
1020,13,123
1021,13,133
1022,13,136
1023,13,155
1024,13,176
1025,13,177
1026,13,189
1027,13,190
1028,13,196
1029,13,205
1030,13,207
1031,13,212
1032,13,222
1033,13,250
1034,13,262
1035,13,285
1036,13,287
1037,13,320
1038,13,331
1039,13,340
1040,13,341
1041,13,347
1042,13,365
1043,13,377
1044,13,385
1045,13,400
1046,13,407
1047,13,414
1048,13,432
1049,13,439
1050,13,441
1051,13,445
1052,13,461
1053,13,480
1054,13,488
1055,13,489
1056,13,490
1057,13,515
1058,13,535
1059,13,545
1060,13,556
1061,13,558
1062,13,573
1063,13,617
1064,13,624
1065,13,630
1066,13,633
1067,13,652
1068,13,665
1069,13,674
1070,13,676
1071,13,689
1072,13,709
1073,13,720
1074,13,728
1075,13,738
1076,13,748
1077,13,750
1078,13,759
1079,13,787
1080,13,800
1081,13,807
1082,14,2
1083,14,23
1084,14,26
1085,14,41
1086,14,43
1087,14,48
1088,14,69
1089,14,72
1090,14,95
1091,14,96
1092,14,99
1093,14,101
1094,14,104
1095,14,107
1096,14,117
1097,14,120
1098,14,123
1099,14,124
1100,14,136
1101,14,153
1102,14,155
1103,14,163
1104,14,170
1105,14,190
1106,14,204
1107,14,208
1108,14,220
1109,14,228
1110,14,230
1111,14,247
1112,14,250
1113,14,267
1114,14,287
1115,14,316
1116,14,317
1117,14,328
1118,14,333
1119,14,365
1120,14,372
1121,14,376
1122,14,381
1123,14,382
1124,14,383
1125,14,384
1126,14,401
1127,14,407
1128,14,414
1129,14,433
1130,14,445
1131,14,458
1132,14,462
1133,14,479
1134,14,483
1135,14,489
1136,14,507
1137,14,519
1138,14,537
1139,14,545
1140,14,547
1141,14,554
1142,14,556
1143,14,573
1144,14,591
1145,14,610
1146,14,612
1147,14,630
1148,14,637
1149,14,640
1150,14,645
1151,14,648
1152,14,654
1153,14,665
1154,14,676
1155,14,689
1156,14,709
1157,14,717
1158,14,718
1159,14,724
1160,14,727
1161,14,732
1162,14,750
1163,14,759
1164,14,762
1165,14,783
1166,14,785
1167,14,791
1168,14,808
1169,14,813
1170,14,821
1171,14,824
1172,14,829
1173,15,4
1174,15,15
1175,15,16
1176,15,18
1177,15,32
1178,15,43
1179,15,74
1180,15,94
1181,15,100
1182,15,107
1183,15,112
1184,15,118
1185,15,147
1186,15,152
1187,15,155
1188,15,163
1189,15,174
1190,15,185
1191,15,188
1192,15,190
1193,15,214
1194,15,227
1195,15,250
1196,15,262
1197,15,269
1198,15,274
1199,15,287
1200,15,311
1201,15,325
1202,15,329
1203,15,340
1204,15,365
1205,15,380
1206,15,384
1207,15,406
1208,15,434
1209,15,440
1210,15,443
1211,15,445
1212,15,490
1213,15,507
1214,15,533
1215,15,534
1216,15,544
1217,15,556
1218,15,573
1219,15,591
1220,15,603
1221,15,605
1222,15,611
1223,15,630
1224,15,643
1225,15,646
1226,15,649
1227,15,665
1228,15,670
1229,15,676
1230,15,689
1231,15,706
1232,15,709
1233,15,717
1234,15,726
1235,15,741
1236,15,748
1237,15,750
1238,15,759
1239,15,763
1240,15,775
1241,15,782
1242,15,801
1243,15,807
1244,15,809
1245,15,822
1246,16,13
1247,16,74
1248,16,94
1249,16,107
1250,16,123
1251,16,155
1252,16,190
1253,16,211
1254,16,250
1255,16,287
1256,16,325
1257,16,329
1258,16,417
1259,16,420
1260,16,433
1261,16,445
1262,16,489
1263,16,501
1264,16,515
1265,16,525
1266,16,573
1267,16,597
1268,16,665
1269,16,689
1270,16,698
1271,16,709
1272,16,720
1273,16,725
1274,16,726
1275,16,750
1276,16,759
1277,16,782
1278,16,807
1279,17,4
1280,17,18
1281,17,43
1282,17,72
1283,17,93
1284,17,102
1285,17,107
1286,17,112
1287,17,115
1288,17,150
1289,17,155
1290,17,163
1291,17,177
1292,17,181
1293,17,190
1294,17,211
1295,17,232
1296,17,236
1297,17,242
1298,17,243
1299,17,250
1300,17,267
1301,17,273
1302,17,280
1303,17,287
1304,17,311
1305,17,365
1306,17,395
1307,17,397
1308,17,437
1309,17,445
1310,17,466
1311,17,473
1312,17,478
1313,17,480
1314,17,507
1315,17,519
1316,17,545
1317,17,556
1318,17,560
1319,17,573
1320,17,591
1321,17,606
1322,17,630
1323,17,639
1324,17,643
1325,17,647
1326,17,665
1327,17,676
1328,17,689
1329,17,709
1330,17,717
1331,17,740
1332,17,748
1333,17,750
1334,17,807
1335,17,826
1336,17,827
1337,18,4
1338,18,26
1339,18,28
1340,18,37
1341,18,40
1342,18,43
1343,18,52
1344,18,67
1345,18,68
1346,18,76
1347,18,82
1348,18,83
1349,18,89
1350,18,94
1351,18,102
1352,18,114
1353,18,153
1354,18,155
1355,18,160
1356,18,163
1357,18,168
1358,18,171
1359,18,190
1360,18,205
1361,18,206
1362,18,208
1363,18,213
1364,18,221
1365,18,191
1366,18,222
1367,18,226
1368,18,227
1369,18,233
1370,18,234
1371,18,237
1372,18,249
1373,18,250
1374,18,254
1375,18,255
1376,18,257
1377,18,262
1378,18,268
1379,18,287
1380,18,312
1381,18,314
1382,18,323
1383,18,336
1384,18,359
1385,18,367
1386,18,373
1387,18,388
1388,18,394
1389,18,396
1390,18,405
1391,18,407
1392,18,408
1393,18,409
1394,18,410
1395,18,413
1396,18,415
1397,18,445
1398,18,453
1399,18,472
1400,18,476
1401,18,477
1402,18,484
1403,18,490
1404,18,494
1405,18,501
1406,18,511
1407,18,513
1408,18,515
1409,18,540
1410,18,545
1411,18,549
1412,18,556
1413,18,568
1414,18,572
1415,18,591
1416,18,594
1417,18,605
1418,18,613
1419,18,619
1420,18,620
1421,18,621
1422,18,627
1423,18,630
1424,18,644
1425,18,651
1426,18,656
1427,18,657
1428,18,659
1429,18,665
1430,18,671
1431,18,676
1432,18,677
1433,18,688
1434,18,691
1435,18,694
1436,18,706
1437,18,708
1438,18,709
1439,18,717
1440,18,722
1441,18,723
1442,18,734
1443,18,744
1444,18,750
1445,18,757
1446,18,758
1447,18,760
1448,18,779
1449,18,780
1450,18,816
1451,18,817
1452,18,818
1453,19,6
1454,19,16
1455,19,831
1456,19,34
1457,19,35
1458,19,832
1459,19,833
1460,19,94
1461,19,105
1462,19,114
1463,19,139
1464,19,834
1465,19,835
1466,19,153
1467,19,155
1468,19,836
1469,19,837
1470,19,163
1471,19,838
1472,19,839
1473,19,168
1474,19,190
1475,19,213
1476,19,235
1477,19,840
1478,19,841
1479,19,842
1480,19,843
1481,19,250
1482,19,256
1483,19,844
1484,19,845
1485,19,262
1486,19,846
1487,19,847
1488,19,277
1489,19,848
1490,19,849
1491,19,303
1492,19,850
1493,19,851
1494,19,306
1495,19,852
1496,19,853
1497,19,854
1498,19,855
1499,19,856
1500,19,857
1501,19,858
1502,19,859
1503,19,860
1504,19,325
1505,19,861
1506,19,400
1507,19,862
1508,19,407
1509,19,863
1510,19,864
1511,19,445
1512,19,865
1513,19,452
1514,19,454
1515,19,866
1516,19,456
1517,19,867
1518,19,468
1519,19,490
1520,19,868
1521,19,869
1522,19,870
1523,19,871
1524,19,501
1525,19,872
1526,19,873
1527,19,874
1528,19,875
1529,19,876
1530,19,525
1531,19,877
1532,19,529
1533,19,878
1534,19,879
1535,19,880
1536,19,561
1537,19,881
1538,19,573
1539,19,575
1540,19,882
1541,19,579
1542,19,883
1543,19,591
1544,19,884
1545,19,601
1546,19,885
1547,19,886
1548,19,887
1549,19,888
1550,19,889
1551,19,890
1552,19,891
1553,19,892
1554,19,630
1555,19,647
1556,19,893
1557,19,664
1558,19,665
1559,19,668
1560,19,894
1561,19,676
1562,19,895
1563,19,896
1564,19,897
1565,19,898
1566,19,683
1567,19,899
1568,19,691
1569,19,694
1570,19,696
1571,19,900
1572,19,901
1573,19,709
1574,19,902
1575,19,903
1576,19,904
1577,19,742
1578,19,905
1579,19,906
1580,19,907
1581,19,908
1582,19,909
1583,19,910
1584,19,911
1585,19,745
1586,19,750
1587,19,752
1588,19,912
1589,19,913
1590,19,810
1591,19,811
1592,19,914
1593,20,6
1594,20,7
1595,20,16
1596,20,34
1597,20,43
1598,20,915
1599,20,916
1600,20,62
1601,20,94
1602,20,917
1603,20,918
1604,20,107
1605,20,115
1606,20,124
1607,20,129
1608,20,919
1609,20,920
1610,20,921
1611,20,155
1612,20,922
1613,20,923
1614,20,924
1615,20,163
1616,20,164
1617,20,168
1618,20,925
1619,20,926
1620,20,927
1621,20,928
1622,20,929
1623,20,930
1624,20,931
1625,20,190
1626,20,932
1627,20,213
1628,20,933
1629,20,227
1630,20,250
1631,20,251
1632,20,934
1633,20,253
1634,20,935
1635,20,936
1636,20,256
1637,20,937
1638,20,938
1639,20,268
1640,20,939
1641,20,280
1642,20,940
1643,20,287
1644,20,941
1645,20,294
1646,20,942
1647,20,943
1648,20,944
1649,20,945
1650,20,946
1651,20,947
1652,20,297
1653,20,319
1654,20,948
1655,20,949
1656,20,950
1657,20,951
1658,20,952
1659,20,953
1660,20,954
1661,20,955
1662,20,365
1663,20,400
1664,20,956
1665,20,407
1666,20,445
1667,20,957
1668,20,958
1669,20,959
1670,20,960
1671,20,961
1672,20,962
1673,20,456
1674,20,963
1675,20,964
1676,20,965
1677,20,966
1678,20,967
1679,20,968
1680,20,969
1681,20,491
1682,20,970
1683,20,971
1684,20,972
1685,20,973
1686,20,525
1687,20,974
1688,20,975
1689,20,976
1690,20,536
1691,20,556
1692,20,573
1693,20,575
1694,20,579
1695,20,580
1696,20,977
1697,20,978
1698,20,979
1699,20,591
1700,20,980
1701,20,885
1702,20,630
1703,20,981
1704,20,982
1705,20,983
1706,20,984
1707,20,985
1708,20,986
1709,20,987
1710,20,643
1711,20,657
1712,20,662
1713,20,665
1714,20,988
1715,20,989
1716,20,990
1717,20,991
1718,20,667
1719,20,992
1720,20,993
1721,20,994
1722,20,669
1723,20,676
1724,20,995
1725,20,678
